genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
21st century classical,0.7546,0.2841,352593.2,0.15958,0.484374,0.16858,-22.153399999999998,0.062060000000000004,91.35100000000001,0.14338,6.6,4,1
432hz,0.4855146666666666,0.31199999999999994,1047430.4,0.39167833333333324,0.4772503333333334,0.26594,-18.131266666666665,0.07171666666666666,118.90093333333331,0.23648333333333335,41.2,11,1
8-bit,0.0289,0.6729999999999999,133454.0,0.95,0.63,0.069,-7.899,0.292,192.816,0.997,0.0,5,1
[],0.5357927015701375,0.5469369863624278,249531.24458736798,0.4854298914390353,0.27844200953049636,0.2209695039949705,-11.624753757749547,0.10151057493267943,116.06897995725546,0.48636111978667496,12.350770065284552,7,1
a cappella,0.6942764402427637,0.5161721621982125,201839.07190209415,0.33053253501400565,0.036079901951914094,0.22298279378418037,-12.656546985460853,0.08362742230225424,105.50603098572762,0.454077064158997,39.08624783246632,7,1
abstract,0.41126199999999996,0.47359999999999997,366098.4,0.47940000000000005,0.8413999999999999,0.09716000000000001,-15.7994,0.04529999999999999,142.4954,0.27426,43.8,5,1
abstract beats,0.459,0.669,174867.0,0.735,0.0,0.103,-7.2639999999999985,0.329,117.284,0.723,62.0,10,1
abstract hip hop,0.2973526982734126,0.7252736374522089,228204.87880680017,0.7268439785439786,0.09918683434438194,0.26893788324931184,-7.257105391841106,0.22443688415616989,107.58877323110181,0.6390508681108681,21.050865608008465,1,1
abstract idm,0.995,0.174,580533.0,0.0029100000000000003,0.931,0.0983,-37.518,0.0399,67.56,0.0328,46.0,0,1
accordeon,0.59875,0.44200000000000006,165480.0,0.31400000000000006,0.607,0.19167499999999998,-12.174249999999999,0.042475,139.8195,0.5115,35.25,2,1
accordion,0.44446874999999997,0.6255,165441.5625,0.3713437500000001,0.193737946875,0.16089375,-14.48209375,0.08058437500000001,112.71968749999999,0.6585625,20.9375,2,1
acid house,0.045358314999999996,0.70091,303980.2,0.762467,0.43149876999999986,0.18084850000000002,-9.505465,0.059125,127.60202000000001,0.5772099999999999,32.735,8,0
acid jazz,0.32779111111111114,0.6816851851851853,288994.1666666666,0.693574074074074,0.2938795185185186,0.09972407407407408,-8.897722222222223,0.05300740740740741,112.92003703703705,0.7863407407407408,28.851851851851848,7,0
acid rock,0.22065885580022013,0.4591240264995974,254073.5260015543,0.5948952725008898,0.16075681929968155,0.22905255451040848,-11.273828810955681,0.07126933394174158,129.1352783512326,0.56070692734348,29.791913623077356,2,1
acid techno,0.004105233333333334,0.6758333333333333,401250.6666666667,0.8593333333333333,0.8613333333333334,0.26299999999999996,-7.9383333333333335,0.1073,131.0135,0.5338333333333333,1.6666666666666667,7,1
acid trance,0.003425,0.545,145366.5,0.8775,0.817,0.1765,-8.289000000000001,0.18895,135.381,0.481,40.0,7,1
acousmatic,0.9327945011337868,0.4041812409812409,241560.7362270666,0.18268431689342404,0.6863879072472171,0.21091761878994023,-21.225812989589773,0.07575615079365079,98.7697033858998,0.21628167259327977,5.658098845598846,5,1
acoustic blues,0.7408197051074915,0.6026744551316866,201385.45685048762,0.3659271055241369,0.10518842766503002,0.1686471707455953,-12.528313381831412,0.06737521228440994,114.69287909793293,0.6358454287505536,22.238190928721583,9,1
acoustic chill,1.32e-05,0.393,59531.0,0.706,5.92e-06,0.873,-5.409,0.0488,128.181,0.155,23.0,1,1
acoustic guitar cover,0.977,0.397,242160.0,0.275,0.912,0.119,-17.178,0.0493,168.18099999999995,0.499,5.0,4,0
acoustic pop,0.43811761178419334,0.5528025231836704,232309.1574500116,0.5126792460875234,0.09290703101083161,0.18112403644909172,-9.426489138127675,0.04673542774294368,121.12782439102348,0.3920583922050303,46.74553708891674,2,1
acoustic punk,0.11735393749999999,0.5693958333333332,204393.87152777778,0.7185868055555557,0.40100757208333326,0.18872673611111113,-10.464649305555554,0.06976527777777779,117.26434027777776,0.5490173611111112,21.555555555555557,11,1
acoustic rock,0.34426190476190477,0.562047619047619,205446.85714285713,0.7094285714285714,0.2079528026190476,0.12330714285714285,-5.9700476190476195,0.06246190476190477,121.93550000000002,0.7410571428571429,42.97619047619048,8,1
action rock,0.49543683333333344,0.5680000000000001,181958.0,0.4641666666666667,0.10300018500000001,0.20850000000000005,-11.764333333333335,0.041833333333333333,106.39883333333334,0.5886666666666668,0.0,11,1
adoracao,0.000579,0.645,502291.0,0.813,0.542,0.0752,-8.556000000000001,0.0449,117.013,0.488,0.0,10,0
adoracion,0.3764654285714285,0.569642857142857,292687.4285714286,0.5800714285714285,0.025857142857142856,0.2225,-6.910714285714286,0.0493,134.91449999999998,0.4061428571428571,42.857142857142854,7,1
adult standards,0.6215598021374321,0.5043021630377027,200027.81674504906,0.4138973315089596,0.1310565899528388,0.19868045816144667,-11.836470137177026,0.05800934084490186,114.21955077043755,0.4995589152962626,30.154969115718274,7,1
adventista,0.7779460317460316,0.5323174603174604,202442.60317460317,0.3217936507936508,7.459682539682542e-06,0.13938253968253966,-9.31231746031746,0.028969841269841274,113.6516507936508,0.5205714285714286,27.063492063492063,6,1
afghan pop,0.5016999999999999,0.6089999999999999,320455.1,0.5738999999999999,0.00124603,0.08186,-11.054,0.09148999999999999,111.3922,0.7716000000000001,35.6,1,1
afghan traditional,0.9579999999999999,0.4403333333333333,278581.3333333333,0.32366666666666666,0.4007066666666667,0.17766666666666667,-14.49766666666667,0.14603333333333332,94.06966666666666,0.7106666666666666,8.333333333333334,1,1
african gospel,0.5546666666666668,0.6353333333333334,339622.0,0.8300000000000001,0.03816166666666667,0.303,-6.063,0.0441,119.58,0.8186666666666667,14.0,2,1
african percussion,0.243875,0.69825,221829.04166666663,0.8290416666666667,0.11800948333333333,0.08435000000000001,-6.198708333333332,0.13486666666666666,132.28187499999999,0.613875,7.916666666666668,8,1
african reggae,0.2433892857142857,0.7485357142857142,265097.64285714284,0.6706428571428571,0.003500856428571428,0.11663571428571429,-7.299357142857143,0.06101428571428571,114.7374642857143,0.7684642857142856,45.42857142857143,7,1
african rock,0.1328273375,0.6715416666666668,239156.4583333333,0.657,0.09392946250000002,0.16649583333333334,-8.653791666666667,0.0693,116.94695833333333,0.6463333333333333,42.66666666666667,8,1
african-american classical,0.7038157578558227,0.5426108133086875,234094.9842883549,0.26423564695009233,0.5225139002634012,0.12486455637707951,-17.490100277264325,0.07962324399260629,119.13900000000001,0.3826731053604435,40.87060998151571,5,1
afrikaans,0.0144,0.371,317427.0,0.618,0.0,0.8240000000000001,-5.468,0.0348,97.898,0.438,14.0,7,1
